Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Weekly,A moderate amount,Somewhat inadequate,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat comfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
35-44,Male,Master's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat comfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat comfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat comfortable,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat comfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Neither adequate nor inadequate,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree
18-24,Female,Some High School,Student,Daily,A little,Somewhat adequate,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Extremely comfortable,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
18-24,Female,High School Graduate,Employed Full-Time,Daily,None at all,Somewhat adequate,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
45-54,Female,Master's Degree,Employed Full-Time,Weekly,A little,Somewhat adequate,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree
25-34,Male,Some College,Employed Full-Time,Daily,A lot,Somewhat adequate,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat uncomfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat comfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree
18-24,Female,High School Graduate,Student,Daily,A lot,Somewhat inadequate,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
25-34,Male,Master's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat comfortable,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither comfortable nor uncomfortable,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat comfortable,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat uncomfortable,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat comfortable,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree
35-44,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
35-44,Male,Master's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
25-34,Female,Some College,Employed Part-Time,Daily,A little,Somewhat inadequate,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat comfortable,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
45-54,Male,Doctorate or higher,Employed Full-Time,Weekly,A moderate amount,Somewhat inadequate,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree
18-24,Male,Some College,Student,Daily,None at all,Somewhat adequate,Somewhat disagree,Somewhat agree,Somewhat agree,Extremely uncomfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
25-34,Female,Master's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat uncomfortable,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree
55-64,Female,Doctorate or higher,Retired,Weekly,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree
18-24,Female,High School Graduate,Student,Daily,A moderate amount,Extremely adequate,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
25-34,Female,Bachelor's Degree,Homemaker,Daily,A little,Somewhat adequate,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat disagree,Strongly agree,Strongly agree,Extremely comfortable,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree
18-24,Male,Bachelor's Degree,Employed Part-Time,Daily,None at all,Somewhat adequate,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree
55-64,Male,Master's Degree,Retired,Monthly,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Homemaker,Daily,A moderate amount,Somewhat adequate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
18-24,Male,Bachelor's Degree,Student,Daily,A moderate amount,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
55-64,Female,High School Graduate,Employed Full-Time,Weekly,A little,Extremely inadequate,Somewhat agree,Strongly disagree,Somewhat disagree,Extremely uncomfortable,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree
18-24,Female,High School Graduate,Student,Daily,A little,Somewhat adequate,Strongly disagree,Strongly agree,Strongly agree,Extremely comfortable,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree
18-24,Female,Some High School,Student,Daily,A little,Somewhat adequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither comfortable nor uncomfortable,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
18-24,Female,Some High School,Student,Daily,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Male,High School Graduate,Employed Part-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
55-64,Male,No formal education,Retired,Rarely,A little,Somewhat inadequate,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat uncomfortable,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree
18-24,Female,Bachelor's Degree,Student,Daily,A little,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
18-24,Male,High School Graduate,Student,Daily,A moderate amount,Neither adequate nor inadequate,Strongly agree,Neither agree nor disagree,Somewhat agree,Extremely uncomfortable,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree
18-24,Female,Some High School,Student,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither comfortable nor uncomfortable,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
45-54,Male,Bachelor's Degree,Employed Full-Time,Weekly,A great deal,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Strongly agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree
18-24,Female,Some College,Student,Daily,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat comfortable,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
18-24,Female,Some College,Student,Daily,A moderate amount,Somewhat adequate,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
25-34,Male,Master's Degree,Employed Part-Time,Weekly,A moderate amount,Somewhat adequate,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
18-24,Female,Some College,Student,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Somewhat disagree,Somewhat agree,Neither comfortable nor uncomfortable,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
18-24,Female,Some College,Unemployed,Daily,A moderate amount,Somewhat inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree
18-24,Female,High School Graduate,Student,Daily,A little,Somewhat adequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat comfortable,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
18-24,Female,No formal education,Employed Part-Time,Daily,A little,Somewhat adequate,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
18-24,Female,Some College,Student,Daily,A little,Neither adequate nor inadequate,Strongly agree,Neither agree nor disagree,Strongly agree,Neither comfortable nor uncomfortable,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree
55-64,Female,Bachelor's Degree,Retired,Rarely,A lot,Somewhat inadequate,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither comfortable nor uncomfortable,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
18-24,Female,No formal education,Employed Part-Time,Daily,A little,Somewhat adequate,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree
18-24,Male,High School Graduate,Unemployed,Daily,A little,Somewhat inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree
18-24,Female,High School Graduate,Unemployed,Daily,None at all,Extremely adequate,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat comfortable,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
18-24,Female,High School Graduate,Student,Daily,None at all,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat comfortable,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
18-24,Female,Some High School,Student,Daily,None at all,Extremely adequate,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree
18-24,Female,High School Graduate,Student,Daily,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Part-Time,Daily,A moderate amount,Extremely adequate,Somewhat agree,Strongly agree,Strongly agree,Somewhat comfortable,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree
